,Sno,Headline,Covid,Sentiment,Covid_punct,clean_covid,clean_covid_v2,clean_covid_v3,clean_covid_v4,clean_covid_v5,clean_covid_v6,covid_token,covid_token_filtered,covid_stemmed,covid_lemmatized
998,998,In which cases is movement of people allowed from April 20 amid extended lockdown?,1,1,In which cases is movement of people allowed from April  amid extended lockdown,In which cases is movement of people allowed from April  amid extended lockdown,In which cases is movement of people allowed from April  amid extended lockdown,In which cases is movement of people allowed from April  amid extended lockdown,in which cases is movement of people allowed from april  amid extended lockdown,in which cases is movement of people allowed from april  amid extended lockdown,in which cases is movement of people allowed from april  amid extended lockdown,"['in', 'which', 'cases', 'is', 'movement', 'of', 'people', 'allowed', 'from', 'april', 'amid', 'extended', 'lockdown']","['cases', 'movement', 'people', 'allowed', 'april', 'amid', 'extended', 'lockdown']",case movement peopl allow april amid extend lockdown,case movement people allowed april amid extended lockdown
999,999,"Meghalaya's 1st COVID-19 patient dies, 6 of his family members test positive",1,0,Meghalayas st COVID patient dies  of his family members test positive,Meghalayas st COVID patient dies  of his family members test positive,Meghalayas st COVID patient dies  of his family members test positive,Meghalayas st COVID patient dies  of his family members test positive,meghalayas st covid patient dies  of his family members test positive,meghalayas st covid patient dies  of his family members test positive,meghalayas st covid patient dies  of his family members test positive,"['meghalayas', 'st', 'covid', 'patient', 'dies', 'of', 'his', 'family', 'members', 'test', 'positive']","['meghalayas', 'st', 'covid', 'patient', 'dies', 'family', 'members', 'test', 'positive']",meghalaya st covid patient die famili member test posit,meghalayas st covid patient dy family member test positive
1000,1000,"MGNREGA projects to resume, workers must maintain social distance: Govt",1,1,MGNREGA projects to resume workers must maintain social distance Govt,MGNREGA projects to resume workers must maintain social distance Govt,MGNREGA projects to resume workers must maintain social distance Govt,MGNREGA projects to resume workers must maintain social distance Govt,mgnrega projects to resume workers must maintain social distance govt,mgnrega projects to resume workers must maintain social distance govt,mgnrega projects to resume workers must maintain social distance govt,"['mgnrega', 'projects', 'to', 'resume', 'workers', 'must', 'maintain', 'social', 'distance', 'govt']","['mgnrega', 'projects', 'resume', 'workers', 'must', 'maintain', 'social', 'distance', 'govt']",mgnrega project resum worker must maintain social distanc govt,mgnrega project resume worker must maintain social distance govt
1001,1001,Banks and ATMs will remain functional amid extended lockdown: Govt,1,1,Banks and ATMs will remain functional amid extended lockdown Govt,Banks and ATMs will remain functional amid extended lockdown Govt,Banks and ATMs will remain functional amid extended lockdown Govt,Banks and ATMs will remain functional amid extended lockdown Govt,banks and atms will remain functional amid extended lockdown govt,banks and atms will remain functional amid extended lockdown govt,banks and atms will remain functional amid extended lockdown govt,"['banks', 'and', 'atms', 'will', 'remain', 'functional', 'amid', 'extended', 'lockdown', 'govt']","['banks', 'atms', 'remain', 'functional', 'amid', 'extended', 'lockdown', 'govt']",bank atm remain function amid extend lockdown govt,bank atm remain functional amid extended lockdown govt
1002,1002,"What is pooled testing, recommended by ICMR to increase coronavirus tests?",1,1,What is pooled testing recommended by ICMR to increase coronavirus tests,What is pooled testing recommended by ICMR to increase coronavirus tests,What is pooled testing recommended by ICMR to increase coronavirus tests,What is pooled testing recommended by ICMR to increase coronavirus tests,what is pooled testing recommended by icmr to increase coronavirus tests,what is pooled testing recommended by icmr to increase coronavirus tests,what is pooled testing recommended by icmr to increase coronavirus tests,"['what', 'is', 'pooled', 'testing', 'recommended', 'by', 'icmr', 'to', 'increase', 'coronavirus', 'tests']","['pooled', 'testing', 'recommended', 'icmr', 'increase', 'coronavirus', 'tests']",pool test recommend icmr increas coronaviru test,pooled testing recommended icmr increase coronavirus test
1003,1003,"29 new COVID-19 cases reported in Rajasthan, total cases now 1,034",1,0, new COVID cases reported in Rajasthan total cases now , new COVID cases reported in Rajasthan total cases now , new COVID cases reported in Rajasthan total cases now , new COVID cases reported in Rajasthan total cases now , new covid cases reported in rajasthan total cases now , new covid cases reported in rajasthan total cases now , new covid cases reported in rajasthan total cases now ,"['new', 'covid', 'cases', 'reported', 'in', 'rajasthan', 'total', 'cases', 'now']","['new', 'covid', 'cases', 'reported', 'rajasthan', 'total', 'cases']",new covid case report rajasthan total case,new covid case reported rajasthan total case
1004,1004," 5 new COVID-19 cases in Dharavi, total reaches 60: BMC",1,0,  new COVID cases in Dharavi total reaches  BMC,  new COVID cases in Dharavi total reaches  BMC,  new COVID cases in Dharavi total reaches  BMC,  new COVID cases in Dharavi total reaches  BMC,  new covid cases in dharavi total reaches  bmc,  new covid cases in dharavi total reaches  bmc,  new covid cases in dharavi total reaches  bmc,"['new', 'covid', 'cases', 'in', 'dharavi', 'total', 'reaches', 'bmc']","['new', 'covid', 'cases', 'dharavi', 'total', 'reaches', 'bmc']",new covid case dharavi total reach bmc,new covid case dharavi total reach bmc
1005,1005,Reports of separate wards for patients of different religions baseless: Gujarat,1,0,Reports of separate wards for patients of different religions baseless Gujarat,Reports of separate wards for patients of different religions baseless Gujarat,Reports of separate wards for patients of different religions baseless Gujarat,Reports of separate wards for patients of different religions baseless Gujarat,reports of separate wards for patients of different religions baseless gujarat,reports of separate wards for patients of different religions baseless gujarat,reports of separate wards for patients of different religions baseless gujarat,"['reports', 'of', 'separate', 'wards', 'for', 'patients', 'of', 'different', 'religions', 'baseless', 'gujarat']","['reports', 'separate', 'wards', 'patients', 'different', 'religions', 'baseless', 'gujarat']",report separ ward patient differ religion baseless gujarat,report separate ward patient different religion baseless gujarat
1006,1006,Gujarat CM self-isolates after MLA he met tests positive for coronavirus,1,0,Gujarat CM selfisolates after MLA he met tests positive for coronavirus,Gujarat CM selfisolates after MLA he met tests positive for coronavirus,Gujarat CM selfisolates after MLA he met tests positive for coronavirus,Gujarat CM selfisolates after MLA he met tests positive for coronavirus,gujarat cm selfisolates after mla he met tests positive for coronavirus,gujarat cm selfisolates after mla he met tests positive for coronavirus,gujarat cm selfisolates after mla he met tests positive for coronavirus,"['gujarat', 'cm', 'selfisolates', 'after', 'mla', 'he', 'met', 'tests', 'positive', 'for', 'coronavirus']","['gujarat', 'cm', 'selfisolates', 'mla', 'met', 'tests', 'positive', 'coronavirus']",gujarat cm selfisol mla met test posit coronaviru,gujarat cm selfisolates mla met test positive coronavirus
1007,1007,"Govt allows IT, IT-enabled services to function with 50% staff from April 20",1,1,Govt allows IT ITenabled services to function with  staff from April ,Govt allows IT ITenabled services to function with  staff from April ,Govt allows IT ITenabled services to function with  staff from April ,Govt allows IT ITenabled services to function with  staff from April ,govt allows it itenabled services to function with  staff from april ,govt allows it itenabled services to function with  staff from april ,govt allows it itenabled services to function with  staff from april ,"['govt', 'allows', 'it', 'itenabled', 'services', 'to', 'function', 'with', 'staff', 'from', 'april']","['govt', 'allows', 'itenabled', 'services', 'function', 'staff', 'april']",govt allow iten servic function staff april,govt allows itenabled service function staff april
1008,1008,Govt gives tips for mental health of elderly amid COVID-19 crisis,1,1,Govt gives tips for mental health of elderly amid COVID crisis,Govt gives tips for mental health of elderly amid COVID crisis,Govt gives tips for mental health of elderly amid COVID crisis,Govt gives tips for mental health of elderly amid COVID crisis,govt gives tips for mental health of elderly amid covid crisis,govt gives tips for mental health of elderly amid covid crisis,govt gives tips for mental health of elderly amid covid crisis,"['govt', 'gives', 'tips', 'for', 'mental', 'health', 'of', 'elderly', 'amid', 'covid', 'crisis']","['govt', 'gives', 'tips', 'mental', 'health', 'elderly', 'amid', 'covid', 'crisis']",govt give tip mental health elderli amid covid crisi,govt give tip mental health elderly amid covid crisis
1009,1009,Notice to 2 Jaipur hospitals for denying care to patient from hotspot area,1,0,Notice to  Jaipur hospitals for denying care to patient from hotspot area,Notice to  Jaipur hospitals for denying care to patient from hotspot area,Notice to  Jaipur hospitals for denying care to patient from hotspot area,Notice to  Jaipur hospitals for denying care to patient from hotspot area,notice to  jaipur hospitals for denying care to patient from hotspot area,notice to  jaipur hospitals for denying care to patient from hotspot area,notice to  jaipur hospitals for denying care to patient from hotspot area,"['notice', 'to', 'jaipur', 'hospitals', 'for', 'denying', 'care', 'to', 'patient', 'from', 'hotspot', 'area']","['notice', 'jaipur', 'hospitals', 'denying', 'care', 'patient', 'hotspot', 'area']",notic jaipur hospit deni care patient hotspot area,notice jaipur hospital denying care patient hotspot area
1010,1010,Govt permits resumption of some industries in rural areas after April 20,1,1,Govt permits resumption of some industries in rural areas after April ,Govt permits resumption of some industries in rural areas after April ,Govt permits resumption of some industries in rural areas after April ,Govt permits resumption of some industries in rural areas after April ,govt permits resumption of some industries in rural areas after april ,govt permits resumption of some industries in rural areas after april ,govt permits resumption of some industries in rural areas after april ,"['govt', 'permits', 'resumption', 'of', 'some', 'industries', 'in', 'rural', 'areas', 'after', 'april']","['govt', 'permits', 'resumption', 'industries', 'rural', 'areas', 'april']",govt permit resumpt industri rural area april,govt permit resumption industry rural area april
1011,1011,"Religious places to remain closed, religious gatherings prohibited till May 3",1,0,Religious places to remain closed religious gatherings prohibited till May ,Religious places to remain closed religious gatherings prohibited till May ,Religious places to remain closed religious gatherings prohibited till May ,Religious places to remain closed religious gatherings prohibited till May ,religious places to remain closed religious gatherings prohibited till may ,religious places to remain closed religious gatherings prohibited till may ,religious places to remain closed religious gatherings prohibited till may ,"['religious', 'places', 'to', 'remain', 'closed', 'religious', 'gatherings', 'prohibited', 'till', 'may']","['religious', 'places', 'remain', 'closed', 'religious', 'gatherings', 'prohibited', 'till', 'may']",religi place remain close religi gather prohibit till may,religious place remain closed religious gathering prohibited till may
1012,1012,Bengaluru Commissioner seeks public opinion on how to manage migrant workers,1,1,Bengaluru Commissioner seeks public opinion on how to manage migrant workers,Bengaluru Commissioner seeks public opinion on how to manage migrant workers,Bengaluru Commissioner seeks public opinion on how to manage migrant workers,Bengaluru Commissioner seeks public opinion on how to manage migrant workers,bengaluru commissioner seeks public opinion on how to manage migrant workers,bengaluru commissioner seeks public opinion on how to manage migrant workers,bengaluru commissioner seeks public opinion on how to manage migrant workers,"['bengaluru', 'commissioner', 'seeks', 'public', 'opinion', 'on', 'how', 'to', 'manage', 'migrant', 'workers']","['bengaluru', 'commissioner', 'seeks', 'public', 'opinion', 'manage', 'migrant', 'workers']",bengaluru commission seek public opinion manag migrant worker,bengaluru commissioner seek public opinion manage migrant worker
1013,1013,"Over 3,000 jurists, artistes condemn FIR against journo Siddharth Varadarajan",0,0,Over  jurists artistes condemn FIR against journo Siddharth Varadarajan,Over  jurists artistes condemn FIR against journo Siddharth Varadarajan,Over  jurists artistes condemn FIR against journo Siddharth Varadarajan,Over  jurists artistes condemn FIR against journo Siddharth Varadarajan,over  jurists artistes condemn fir against journo siddharth varadarajan,over  jurists artistes condemn fir against journo siddharth varadarajan,over  jurists artistes condemn fir against journo siddharth varadarajan,"['over', 'jurists', 'artistes', 'condemn', 'fir', 'against', 'journo', 'siddharth', 'varadarajan']","['jurists', 'artistes', 'condemn', 'fir', 'journo', 'siddharth', 'varadarajan']",jurist artist condemn fir journo siddharth varadarajan,jurist artiste condemn fir journo siddharth varadarajan
1014,1014,Man held for social media posts that allegedly led to Bandra migrants' protest,0,0,Man held for social media posts that allegedly led to Bandra migrants protest,Man held for social media posts that allegedly led to Bandra migrants protest,Man held for social media posts that allegedly led to Bandra migrants protest,Man held for social media posts that allegedly led to Bandra migrants protest,man held for social media posts that allegedly led to bandra migrants protest,man held for social media posts that allegedly led to bandra migrants protest,man held for social media posts that allegedly led to bandra migrants protest,"['man', 'held', 'for', 'social', 'media', 'posts', 'that', 'allegedly', 'led', 'to', 'bandra', 'migrants', 'protest']","['man', 'held', 'social', 'media', 'posts', 'allegedly', 'led', 'bandra', 'migrants', 'protest']",man held social media post allegedli led bandra migrant protest,man held social medium post allegedly led bandra migrant protest
1015,1015,"Normal monsoon expected this year, says government",0,1,Normal monsoon expected this year says government,Normal monsoon expected this year says government,Normal monsoon expected this year says government,Normal monsoon expected this year says government,normal monsoon expected this year says government,normal monsoon expected this year says government,normal monsoon expected this year says government,"['normal', 'monsoon', 'expected', 'this', 'year', 'says', 'government']","['normal', 'monsoon', 'expected', 'year', 'says', 'government']",normal monsoon expect year say govern,normal monsoon expected year say government
1016,1016,Let's not cross Laxman Rekha: Actress who played Sita on lockdown,1,1,Lets not cross Laxman Rekha Actress who played Sita on lockdown,Lets not cross Laxman Rekha Actress who played Sita on lockdown,Lets not cross Laxman Rekha Actress who played Sita on lockdown,Lets not cross Laxman Rekha Actress who played Sita on lockdown,lets not cross laxman rekha actress who played sita on lockdown,lets not cross laxman rekha actress who played sita on lockdown,lets not cross laxman rekha actress who played sita on lockdown,"['lets', 'not', 'cross', 'laxman', 'rekha', 'actress', 'who', 'played', 'sita', 'on', 'lockdown']","['lets', 'cross', 'laxman', 'rekha', 'actress', 'played', 'sita', 'lockdown']",let cross laxman rekha actress play sita lockdown,let cross laxman rekha actress played sita lockdown
1017,1017,"Cinema halls, malls, gyms and bars to remain closed till May 3",1,0,Cinema halls malls gyms and bars to remain closed till May ,Cinema halls malls gyms and bars to remain closed till May ,Cinema halls malls gyms and bars to remain closed till May ,Cinema halls malls gyms and bars to remain closed till May ,cinema halls malls gyms and bars to remain closed till may ,cinema halls malls gyms and bars to remain closed till may ,cinema halls malls gyms and bars to remain closed till may ,"['cinema', 'halls', 'malls', 'gyms', 'and', 'bars', 'to', 'remain', 'closed', 'till', 'may']","['cinema', 'halls', 'malls', 'gyms', 'bars', 'remain', 'closed', 'till', 'may']",cinema hall mall gym bar remain close till may,cinema hall mall gym bar remain closed till may
1018,1018,"Coronavirus cases in Punjab rise to 184, SAS Nagar worst-hit district",1,0,Coronavirus cases in Punjab rise to  SAS Nagar worsthit district,Coronavirus cases in Punjab rise to  SAS Nagar worsthit district,Coronavirus cases in Punjab rise to  SAS Nagar worsthit district,Coronavirus cases in Punjab rise to  SAS Nagar worsthit district,coronavirus cases in punjab rise to  sas nagar worsthit district,coronavirus cases in punjab rise to  sas nagar worsthit district,coronavirus cases in punjab rise to  sas nagar worsthit district,"['coronavirus', 'cases', 'in', 'punjab', 'rise', 'to', 'sas', 'nagar', 'worsthit', 'district']","['coronavirus', 'cases', 'punjab', 'rise', 'sas', 'nagar', 'worsthit', 'district']",coronaviru case punjab rise sa nagar worsthit district,coronavirus case punjab rise sa nagar worsthit district
1019,1019,"51 new cases of coronavirus confirmed in Delhi today, total reaches 1,561",1,0, new cases of coronavirus confirmed in Delhi today total reaches , new cases of coronavirus confirmed in Delhi today total reaches , new cases of coronavirus confirmed in Delhi today total reaches , new cases of coronavirus confirmed in Delhi today total reaches , new cases of coronavirus confirmed in delhi today total reaches , new cases of coronavirus confirmed in delhi today total reaches , new cases of coronavirus confirmed in delhi today total reaches ,"['new', 'cases', 'of', 'coronavirus', 'confirmed', 'in', 'delhi', 'today', 'total', 'reaches']","['new', 'cases', 'coronavirus', 'confirmed', 'delhi', 'today', 'total', 'reaches']",new case coronaviru confirm delhi today total reach,new case coronavirus confirmed delhi today total reach
1020,1020,When is an area considered a COVID-19 hotspot?,1,0,When is an area considered a COVID hotspot,When is an area considered a COVID hotspot,When is an area considered a COVID hotspot,When is an area considered a COVID hotspot,when is an area considered a covid hotspot,when is an area considered a covid hotspot,when is an area considered a covid hotspot,"['when', 'is', 'an', 'area', 'considered', 'a', 'covid', 'hotspot']","['area', 'considered', 'covid', 'hotspot']",area consid covid hotspot,area considered covid hotspot
1021,1021,Govt issues new guidelines for extended lockdown; mask made mandatory in workplaces,1,1,Govt issues new guidelines for extended lockdown mask made mandatory in workplaces,Govt issues new guidelines for extended lockdown mask made mandatory in workplaces,Govt issues new guidelines for extended lockdown mask made mandatory in workplaces,Govt issues new guidelines for extended lockdown mask made mandatory in workplaces,govt issues new guidelines for extended lockdown mask made mandatory in workplaces,govt issues new guidelines for extended lockdown mask made mandatory in workplaces,govt issues new guidelines for extended lockdown mask made mandatory in workplaces,"['govt', 'issues', 'new', 'guidelines', 'for', 'extended', 'lockdown', 'mask', 'made', 'mandatory', 'in', 'workplaces']","['govt', 'issues', 'new', 'guidelines', 'extended', 'lockdown', 'mask', 'made', 'mandatory', 'workplaces']",govt issu new guidelin extend lockdown mask made mandatori workplac,govt issue new guideline extended lockdown mask made mandatory workplace
1022,1022,38 wards declared as coronavirus hotspots across 6 zones of Bengaluru,1,0, wards declared as coronavirus hotspots across  zones of Bengaluru, wards declared as coronavirus hotspots across  zones of Bengaluru, wards declared as coronavirus hotspots across  zones of Bengaluru, wards declared as coronavirus hotspots across  zones of Bengaluru, wards declared as coronavirus hotspots across  zones of bengaluru, wards declared as coronavirus hotspots across  zones of bengaluru, wards declared as coronavirus hotspots across  zones of bengaluru,"['wards', 'declared', 'as', 'coronavirus', 'hotspots', 'across', 'zones', 'of', 'bengaluru']","['wards', 'declared', 'coronavirus', 'hotspots', 'across', 'zones', 'bengaluru']",ward declar coronaviru hotspot across zone bengaluru,ward declared coronavirus hotspot across zone bengaluru
1023,1023,"Maharashtra reports 350 new coronavirus cases in 24 hours, total rises to 2,684",1,0,Maharashtra reports  new coronavirus cases in  hours total rises to ,Maharashtra reports  new coronavirus cases in  hours total rises to ,Maharashtra reports  new coronavirus cases in  hours total rises to ,Maharashtra reports  new coronavirus cases in  hours total rises to ,maharashtra reports  new coronavirus cases in  hours total rises to ,maharashtra reports  new coronavirus cases in  hours total rises to ,maharashtra reports  new coronavirus cases in  hours total rises to ,"['maharashtra', 'reports', 'new', 'coronavirus', 'cases', 'in', 'hours', 'total', 'rises', 'to']","['maharashtra', 'reports', 'new', 'coronavirus', 'cases', 'hours', 'total', 'rises']",maharashtra report new coronaviru case hour total rise,maharashtra report new coronavirus case hour total rise
1024,1024,"Coronavirus cases in India cross 11,000; death toll reaches 377",1,0,Coronavirus cases in India cross  death toll reaches ,Coronavirus cases in India cross  death toll reaches ,Coronavirus cases in India cross  death toll reaches ,Coronavirus cases in India cross  death toll reaches ,coronavirus cases in india cross  death toll reaches ,coronavirus cases in india cross  death toll reaches ,coronavirus cases in india cross  death toll reaches ,"['coronavirus', 'cases', 'in', 'india', 'cross', 'death', 'toll', 'reaches']","['coronavirus', 'cases', 'india', 'cross', 'death', 'toll', 'reaches']",coronaviru case india cross death toll reach,coronavirus case india cross death toll reach
1025,1025,Which activities are permitted from April 20 during the extended lockdown?,1,1,Which activities are permitted from April  during the extended lockdown,Which activities are permitted from April  during the extended lockdown,Which activities are permitted from April  during the extended lockdown,Which activities are permitted from April  during the extended lockdown,which activities are permitted from april  during the extended lockdown,which activities are permitted from april  during the extended lockdown,which activities are permitted from april  during the extended lockdown,"['which', 'activities', 'are', 'permitted', 'from', 'april', 'during', 'the', 'extended', 'lockdown']","['activities', 'permitted', 'april', 'extended', 'lockdown']",activ permit april extend lockdown,activity permitted april extended lockdown
1026,1026,"Manipur govt deposits ₹2,000 each in accounts of locals stranded outside state",1,1,Manipur govt deposits ₹ each in accounts of locals stranded outside state,Manipur govt deposits ₹ each in accounts of locals stranded outside state,Manipur govt deposits ₹ each in accounts of locals stranded outside state,Manipur govt deposits ₹ each in accounts of locals stranded outside state,manipur govt deposits ₹ each in accounts of locals stranded outside state,manipur govt deposits   each in accounts of locals stranded outside state,manipur govt deposits   each in accounts of locals stranded outside state,"['manipur', 'govt', 'deposits', 'each', 'in', 'accounts', 'of', 'locals', 'stranded', 'outside', 'state']","['manipur', 'govt', 'deposits', 'accounts', 'locals', 'stranded', 'outside', 'state']",manipur govt deposit account local strand outsid state,manipur govt deposit account local stranded outside state
1027,1027,"Meghalaya traces 2,000 contacts of state's 1st COVID-19 patient within 18 hrs: CM",1,1,Meghalaya traces  contacts of states st COVID patient within  hrs CM,Meghalaya traces  contacts of states st COVID patient within  hrs CM,Meghalaya traces  contacts of states st COVID patient within  hrs CM,Meghalaya traces  contacts of states st COVID patient within  hrs CM,meghalaya traces  contacts of states st covid patient within  hrs cm,meghalaya traces  contacts of states st covid patient within  hrs cm,meghalaya traces  contacts of states st covid patient within  hrs cm,"['meghalaya', 'traces', 'contacts', 'of', 'states', 'st', 'covid', 'patient', 'within', 'hrs', 'cm']","['meghalaya', 'traces', 'contacts', 'states', 'st', 'covid', 'patient', 'within', 'hrs', 'cm']",meghalaya trace contact state st covid patient within hr cm,meghalaya trace contact state st covid patient within hr cm
1028,1028,Experts say COVID-19 curve won't flatten before September: Punjab CM,1,0,Experts say COVID curve wont flatten before September Punjab CM,Experts say COVID curve wont flatten before September Punjab CM,Experts say COVID curve wont flatten before September Punjab CM,Experts say COVID curve wont flatten before September Punjab CM,experts say covid curve wont flatten before september punjab cm,experts say covid curve wont flatten before september punjab cm,experts say covid curve wont flatten before september punjab cm,"['experts', 'say', 'covid', 'curve', 'wont', 'flatten', 'before', 'september', 'punjab', 'cm']","['experts', 'say', 'covid', 'curve', 'wont', 'flatten', 'september', 'punjab', 'cm']",expert say covid curv wont flatten septemb punjab cm,expert say covid curve wont flatten september punjab cm
1029,1029,Workers in Bandra expected lockdown to end today: Maha Home Minister,1,0,Workers in Bandra expected lockdown to end today Maha Home Minister,Workers in Bandra expected lockdown to end today Maha Home Minister,Workers in Bandra expected lockdown to end today Maha Home Minister,Workers in Bandra expected lockdown to end today Maha Home Minister,workers in bandra expected lockdown to end today maha home minister,workers in bandra expected lockdown to end today maha home minister,workers in bandra expected lockdown to end today maha home minister,"['workers', 'in', 'bandra', 'expected', 'lockdown', 'to', 'end', 'today', 'maha', 'home', 'minister']","['workers', 'bandra', 'expected', 'lockdown', 'end', 'today', 'maha', 'home', 'minister']",worker bandra expect lockdown end today maha home minist,worker bandra expected lockdown end today maha home minister
1030,1030,Coronaviruses found in two bat species in India: ICMR,1,0,Coronaviruses found in two bat species in India ICMR,Coronaviruses found in two bat species in India ICMR,Coronaviruses found in two bat species in India ICMR,Coronaviruses found in two bat species in India ICMR,coronaviruses found in two bat species in india icmr,coronaviruses found in two bat species in india icmr,coronaviruses found in two bat species in india icmr,"['coronaviruses', 'found', 'in', 'two', 'bat', 'species', 'in', 'india', 'icmr']","['coronaviruses', 'found', 'two', 'bat', 'species', 'india', 'icmr']",coronavirus found two bat speci india icmr,coronaviruses found two bat specie india icmr
1031,1031,"Mumbai Police files FIR against 1,000 people over Bandra incident",1,0,Mumbai Police files FIR against  people over Bandra incident,Mumbai Police files FIR against  people over Bandra incident,Mumbai Police files FIR against  people over Bandra incident,Mumbai Police files FIR against  people over Bandra incident,mumbai police files fir against  people over bandra incident,mumbai police files fir against  people over bandra incident,mumbai police files fir against  people over bandra incident,"['mumbai', 'police', 'files', 'fir', 'against', 'people', 'over', 'bandra', 'incident']","['mumbai', 'police', 'files', 'fir', 'people', 'bandra', 'incident']",mumbai polic file fir peopl bandra incid,mumbai police file fir people bandra incident
1032,1032,Decline in calls regarding domestic violence in COVID-19 lockdown: DCW,1,1,Decline in calls regarding domestic violence in COVID lockdown DCW,Decline in calls regarding domestic violence in COVID lockdown DCW,Decline in calls regarding domestic violence in COVID lockdown DCW,Decline in calls regarding domestic violence in COVID lockdown DCW,decline in calls regarding domestic violence in covid lockdown dcw,decline in calls regarding domestic violence in covid lockdown dcw,decline in calls regarding domestic violence in covid lockdown dcw,"['decline', 'in', 'calls', 'regarding', 'domestic', 'violence', 'in', 'covid', 'lockdown', 'dcw']","['decline', 'calls', 'regarding', 'domestic', 'violence', 'covid', 'lockdown', 'dcw']",declin call regard domest violenc covid lockdown dcw,decline call regarding domestic violence covid lockdown dcw
1033,1033,"Lockdown extension in India's interest, will be strictly enforced: Yogi",1,1,Lockdown extension in Indias interest will be strictly enforced Yogi,Lockdown extension in Indias interest will be strictly enforced Yogi,Lockdown extension in Indias interest will be strictly enforced Yogi,Lockdown extension in Indias interest will be strictly enforced Yogi,lockdown extension in indias interest will be strictly enforced yogi,lockdown extension in indias interest will be strictly enforced yogi,lockdown extension in indias interest will be strictly enforced yogi,"['lockdown', 'extension', 'in', 'indias', 'interest', 'will', 'be', 'strictly', 'enforced', 'yogi']","['lockdown', 'extension', 'indias', 'interest', 'strictly', 'enforced', 'yogi']",lockdown extens india interest strictli enforc yogi,lockdown extension india interest strictly enforced yogi
1034,1034,69 pregnant women put in home quarantine after radiologist tests COVID-19 +ve,1,0, pregnant women put in home quarantine after radiologist tests COVID ve, pregnant women put in home quarantine after radiologist tests COVID ve, pregnant women put in home quarantine after radiologist tests COVID ve, pregnant women put in home quarantine after radiologist tests COVID ve, pregnant women put in home quarantine after radiologist tests covid ve, pregnant women put in home quarantine after radiologist tests covid ve, pregnant women put in home quarantine after radiologist tests covid ve,"['pregnant', 'women', 'put', 'in', 'home', 'quarantine', 'after', 'radiologist', 'tests', 'covid', 've']","['pregnant', 'women', 'put', 'home', 'quarantine', 'radiologist', 'tests', 'covid']",pregnant women put home quarantin radiologist test covid,pregnant woman put home quarantine radiologist test covid
1035,1035,Govt shares tips to clean and sanitise home-made masks every day,1,1,Govt shares tips to clean and sanitise homemade masks every day,Govt shares tips to clean and sanitise homemade masks every day,Govt shares tips to clean and sanitise homemade masks every day,Govt shares tips to clean and sanitise homemade masks every day,govt shares tips to clean and sanitise homemade masks every day,govt shares tips to clean and sanitise homemade masks every day,govt shares tips to clean and sanitise homemade masks every day,"['govt', 'shares', 'tips', 'to', 'clean', 'and', 'sanitise', 'homemade', 'masks', 'every', 'day']","['govt', 'shares', 'tips', 'clean', 'sanitise', 'homemade', 'masks', 'every', 'day']",govt share tip clean sanitis homemad mask everi day,govt share tip clean sanitise homemade mask every day
1036,1036,Don't believe rumours about bus arrangements: Kejriwal to migrant workers,1,0,Dont believe rumours about bus arrangements Kejriwal to migrant workers,Dont believe rumours about bus arrangements Kejriwal to migrant workers,Dont believe rumours about bus arrangements Kejriwal to migrant workers,Dont believe rumours about bus arrangements Kejriwal to migrant workers,dont believe rumours about bus arrangements kejriwal to migrant workers,dont believe rumours about bus arrangements kejriwal to migrant workers,dont believe rumours about bus arrangements kejriwal to migrant workers,"['dont', 'believe', 'rumours', 'about', 'bus', 'arrangements', 'kejriwal', 'to', 'migrant', 'workers']","['dont', 'believe', 'rumours', 'bus', 'arrangements', 'kejriwal', 'migrant', 'workers']",dont believ rumour bu arrang kejriw migrant worker,dont believe rumour bus arrangement kejriwal migrant worker
1037,1037,Navi Mumbai Police vans turned into mobile sanitisation units,1,1,Navi Mumbai Police vans turned into mobile sanitisation units,Navi Mumbai Police vans turned into mobile sanitisation units,Navi Mumbai Police vans turned into mobile sanitisation units,Navi Mumbai Police vans turned into mobile sanitisation units,navi mumbai police vans turned into mobile sanitisation units,navi mumbai police vans turned into mobile sanitisation units,navi mumbai police vans turned into mobile sanitisation units,"['navi', 'mumbai', 'police', 'vans', 'turned', 'into', 'mobile', 'sanitisation', 'units']","['navi', 'mumbai', 'police', 'vans', 'turned', 'mobile', 'sanitisation', 'units']",navi mumbai polic van turn mobil sanitis unit,navi mumbai police van turned mobile sanitisation unit
1038,1038,"76 new COVID-19 cases reported in Indore, total cases rise to 438",1,0, new COVID cases reported in Indore total cases rise to , new COVID cases reported in Indore total cases rise to , new COVID cases reported in Indore total cases rise to , new COVID cases reported in Indore total cases rise to , new covid cases reported in indore total cases rise to , new covid cases reported in indore total cases rise to , new covid cases reported in indore total cases rise to ,"['new', 'covid', 'cases', 'reported', 'in', 'indore', 'total', 'cases', 'rise', 'to']","['new', 'covid', 'cases', 'reported', 'indore', 'total', 'cases', 'rise']",new covid case report indor total case rise,new covid case reported indore total case rise
